           1   2.37409938E-02
           2  0.382489085    
           4  0.939260364    
           8  0.734081030    
          16  0.406186491    
          32  0.294684470    
          64  0.105951011    
         128   9.79546756E-02
         256   1.60467606E-02
         512   6.95766583E-02
        1024   9.28815007E-02
        2048   5.54428529E-03
        4096   3.68539579E-02
        8192   1.58303846E-02
       16384   6.27581310E-03
       32768   1.12949703E-02
       65536   6.81771571E-03
      131072   6.32015243E-03
      262144   3.55455000E-03
      524288   5.36921807E-03
     1048576   6.82532729E-04
     2097152   8.82799446E-04
     4194304   4.81275702E-03
     8388608   1.76745374E-02
    16777216   4.26024273E-02
    33554432   9.19825882E-02
    67108864  0.183332160    
